F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
28.7,0.82,-115.06,USA,-280.95,581.1,0.06,214.35,2,2,-0.88,Low,-14794.01,-15.09,-35.61,1578.68,2063.449565
5.4,6.9,-170.24,Rest,-228,330.54,0.31,-164.98,1,9,0.28,Medium,-11632.88,0.72,-29.73,1647.02,2129.015675
21.96,4.4,-219.12,Rest,-59.67,662.28,4.98,281.54,6,5,5.82,Low,-12631.29,-23.61,-32.73,1449.14,296.0545882
10.52,1.02,-184.14,UK,-211.23,506.55,0.57,-311.96,7,5,1.92,High,-26664.88,1.8,-22.92,911.98,1522.624073
2,0.58,-190.56,Rest,-284.82,649.41,0.05,291.47,8,3,-0.02,Low,-9901.41,-13.47,-48.81,2251.04,1328.167374
6.88,10.08,-152.68,Europe,-25.44,552.48,0.04,-45.7,2,3,13.46,Very high,-13981.56,-16.23,-43.65,1794.62,256.3865545
6.9,8.64,-137.02,UK,-196.29,484.35,0.17,295.68,4,5,10.18,High,-16991.8,-0.6,-37.53,1883.68,1614.806544
4.94,6.58,-174.58,UK,-46.59,521.73,0,163,2,7,3.8,High,-20337.81,-1.38,-37.11,1809.2,1476.435289
4.32,9.62,-218.96,UK,-272.67,636.09,2.32,464.36,3,5,7.72,Medium,-15804.53,-8.16,-31.62,1612.52,-6.500824783
10.74,11.6,-113.76,UK,-218.49,446.67,3.89,-241.92,5,3,11.26,Low,-15325.52,-9.42,-29.82,2081.48,2933.329111
13.06,7.66,-179.56,Europe,-130.29,533.01,0.68,569.95,5,6,-0.44,High,-18592.8,-8.76,-13.02,1911.82,-82.87591749
2.14,1.96,-273.42,Europe,-280.89,489.42,12.19,-9.25,6,3,12.16,Very high,-13770.3,1.77,-11.04,1694.84,2308.228114
2.9,7.22,-207.06,USA,-87.36,687.15,5.76,-65.9,4,5,-2.9,Medium,-16356.67,-5.76,-40.41,998.92,764.8155551
1.7,18.84,-177.12,Rest,-234.21,535.02,14.25,160.83,4,5,4.7,Low,-19236.97,-8.7,-30.84,2639.74,2240.01429
3.24,19.5,-238.88,Rest,-404.04,98.67,4.12,920.7,4,5,4.62,Low,-9517.17,-27.78,-46.08,1202.28,2130.792387
3.04,3.86,-74.36,Europe,-320.85,338.61,0.1,158.43,2,1,4.64,High,-17837.77,3.03,-39.51,1922.92,-805.5115719
6.4,1.8,-104.44,UK,-77.88,460.65,0.59,248.65,4,4,16.38,Very low,-15991.71,-28.17,-37.35,1426.56,933.7128028
13.28,17.58,-144.52,Europe,-338.49,591.18,0.11,83.24,7,5,1.02,Medium,-15362.88,-6.21,-31.47,1970.52,1119.273828
17.04,7,-70.86,Rest,-119.67,610.38,118.5,265.19,6,6,3.98,High,-15047.94,-8.22,-34.29,1506.9,1455.189149
1.18,2.56,-119.62,Europe,-250.23,593.79,0.04,189.39,3,2,12.88,Low,-16237.49,2.55,-38.28,562.3,1660.288388
12.32,13.18,-254.1,Rest,-294.84,513.87,317.12,-61.46,5,2,2.78,High,-16070.16,6,-45.3,2236.96,1439.788546
4.5,7.66,-252.12,Rest,-381.06,211.53,4.12,185.79,3,8,12.14,Very high,-12584.21,4.86,-40.59,2407.18,1583.531164
3.92,11.56,-197.94,USA,-203.82,539.49,4.35,478.89,0,4,2.28,Very low,-17728.24,1.17,-38.43,1681.72,861.0806722
