F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
16.56,12.42,-236.06,Rest,-98.88,529.56,4.54,379.54,1,1,7.3,High,-15085.87,-12.93,-39.42,1734.58,3616.82
11.72,12.46,-190.06,Rest,-59.22,493.11,0.05,402.78,5,3,-1.28,Very low,-15782.44,-8.55,-35.61,1672.7,3342.88
4.34,2.74,-201.2,UK,-228.48,563.79,1.22,147.35,4,4,8.28,Low,-10526.01,-9.66,-29.1,1462.86,0
12.76,2.58,-282.26,UK,-173.28,536.94,0.25,113.49,4,3,6.26,Low,-8327.14,-19.23,-34.59,809.46,1742.65
11.1,9.82,-242.86,USA,-193.14,617.52,9.15,343.64,8,6,-6.88,Very low,-14434.13,-9.45,-46.14,1435.9,373.56
6.36,4.48,-151.96,Rest,-331.8,1043.19,63.1,-170.49,7,5,12.68,Very low,-13858.77,-15.18,-36.3,2384.08,0
5.3,1,-189.06,USA,-336.33,472.56,2.19,290.55,9,3,-0.32,Very high,-17261.41,-15,-32.88,1384.7,173.96
4.18,10.96,-207.24,Europe,-198.81,568.05,38.18,-202.04,5,2,0.52,High,-10742.1,-9.66,-41.52,1669.36,1661.04
10.98,5.68,-241.58,UK,-121.62,498.21,8.78,-152.5,2,2,0.78,High,-13952.7,-3.69,-27.84,2268.44,2135.45
11.76,6.9,-156.24,USA,-201.6,574.59,0.95,88.56,7,4,1.42,High,-30289.83,-13.86,-34.77,820.86,1088.68
6.96,0.26,-166.88,Rest,-183.39,600.18,131.54,509.29,3,4,5.16,Low,-24078.65,-12.81,-38.07,1539.72,0
8.9,19.24,-191.74,Rest,-232.11,519.12,123.17,-947.19,4,5,13.76,Medium,-15462.49,-12.48,-36.57,773.48,3787.65
0.7,3.54,-235.96,Europe,-227.37,547.8,13.07,273.62,5,4,10.54,Very high,-15171.25,3.3,-29.16,1937.94,0
7.42,13.66,-177.5,USA,-272.49,414.9,0.52,637.89,3,5,3.4,High,-20080.51,-15.3,-21.18,1204.04,83.31
11.54,10.28,-277.18,Europe,-220.53,515.01,20.07,-599.94,4,5,5.44,Low,-15978.13,-14.55,-53.31,470.86,2039.19
6.7,8.54,-256.6,Rest,-186,631.44,0.02,192.43,2,4,3.5,Medium,-20484.56,-16.56,-26.55,1453.64,543.34
12.24,9.74,-148.1,USA,-160.11,691.02,150.39,-413.72,3,5,8.8,Low,-19032.98,-10.47,-8.07,3183.72,343.14
11.76,4.86,-194.46,UK,-247.77,552.51,0.35,91.4,2,2,-6.18,High,-14958.12,-5.4,-38.97,1391.08,1075.23
6.02,15.04,-275.38,USA,-292.26,570.81,28.1,509.31,4,10,15.94,Very low,-16263.2,-5.73,-29.76,1732.46,0
3.96,10.32,-180.2,Rest,-38.13,519.66,0.01,-183.65,3,3,3.92,Very high,-13476.79,3.33,-45.42,1065.64,3763.35
11.58,9.3,-185.52,Rest,-126.36,673.08,3.25,-171.94,3,2,8.04,Very high,-15356.07,-4.05,-52.05,1598.16,3729.17
0.92,4.32,-204.38,USA,-279.06,431.04,33.56,299.88,1,6,10.14,Medium,-24554.41,-14.16,-39.03,1318.86,0
1.22,2.6,-220.66,USA,-227.73,384.75,0.2,145.3,5,1,13.6,Low,-17086.81,6.42,-18.03,194.58,367.03
1.32,18.76,-78.42,Europe,-226.62,600.9,0.21,96,2,3,10.8,High,-16302.6,-21.36,-38.28,1889.32,906.84
9.8,10.56,-223.42,USA,-330.3,513.66,0.13,-524.84,3,4,0.86,Medium,-13784.57,8.07,-34.95,1761.56,415.41
9.18,9.12,-220.1,USA,-205.23,512.37,0.65,-220.19,7,6,12.4,High,-17608.37,-15.12,-24.27,1795.96,789.58
7.36,15.12,-241.8,USA,-172.47,1028.25,0.01,-195.22,3,6,0.68,Very low,-7111.36,-6.39,-37.41,1260.14,564.24
6.06,4.88,-333.86,Europe,-217.77,508.92,1.36,-491.81,3,2,8.92,Medium,-13804.41,-2.1,-35.46,1416.8,1248.35
13.94,2.68,-196.4,USA,-102.84,421.41,0.04,144.07,3,3,4.58,Very high,-11732.96,-24.87,19.29,1463.66,933.86
13.1,12.68,-142.12,USA,-305.76,531.51,1.08,14.05,3,5,20.76,Very high,-19235.38,0.27,-37.77,1874.3,417.29
14.04,10,-216.74,USA,-160.95,569.91,0.28,592,9,7,15.02,Medium,-14566.16,-8.19,-36.24,780.22,850.35
3.28,17.88,-238.72,UK,-199.77,691.56,0.01,305.69,5,3,4.46,Very high,-12053.93,-15.48,-41.88,2040.38,2186.52
15.4,5.18,-316.42,USA,-265.08,620.73,0,215.58,6,2,12,High,-18560.64,0.75,-22.26,1417.3,756.11
7.14,4.08,-158.78,Europe,-333.93,493.23,122.01,610.41,2,1,14.22,Very low,-7358.94,-15.36,-52.92,1484.34,0
3.76,9.94,-247.48,USA,-168,424.44,0.25,-25.55,5,6,-5.76,High,-18768.19,-6.6,-34.47,777.72,707.73
3.48,6.62,-210.92,Rest,-102.99,421.83,0.29,246.26,2,5,6.26,High,-10324.19,-27.99,-30.6,1060.88,1061.1
20.42,1.9,-189.64,Rest,-196.77,459,3.21,80.01,2,3,13.44,Low,-15877.32,-16.38,-36,2047.38,801.73
6.48,9.66,-177,Rest,-194.73,576.66,1.21,239.87,4,3,1.88,Very low,-15638.98,-6.39,-22.05,797.36,1290.43
2.66,6.14,-233.14,USA,-351.45,1069.05,402.77,-75.64,5,6,10.32,Very low,-17814.84,-8.1,-24.99,841.44,0
4.82,8.46,-244.46,UK,-318.12,413.01,0.25,110.88,3,4,16.72,Low,-14712.31,-29.25,-28.08,1806.22,0
14.26,6.5,-163.26,USA,-146.07,407.94,0.54,-77.71,4,4,3.7,Very high,-11345.59,-5.61,-29.73,1542.48,1133.97
10.48,12.26,-211.32,Rest,-63.12,500.79,0,-102.32,3,1,-3.36,Very high,-19864.95,-2.91,-31.53,2021.88,3780.09
12.32,7.14,-248.16,Europe,-301.5,553.26,404.7,-270.71,5,4,2.74,Low,-19389.9,-37.2,-37.38,1943.7,614.14
15.18,6.88,-283.96,USA,-98.04,548.64,1.41,203.49,2,3,-7.18,Medium,-12303.63,-16.17,-41.04,1276.16,868.75
2.44,7.88,-102.98,Europe,-199.77,469.17,0.04,360.52,3,2,16.56,Very low,-16257.27,-8.97,-35.37,1481.22,0
2.34,6.3,-180.18,UK,-187.5,526.95,0.34,338.74,7,5,9.08,High,-16058.67,-10.23,-38.55,1400.38,591.06
1.78,3.16,-243.6,USA,-279.63,545.4,973.36,242.37,2,1,3.54,Low,-24774.54,-9.81,-32.94,1264.82,0
34.34,12.22,-270.32,Rest,-281.79,628.05,0.25,306.29,4,2,9.5,Low,-19601.21,-18.93,-38.28,606.46,3774.02
15.58,23.5,-138.22,UK,-207.69,445.8,14.61,-133.41,7,6,10.26,Medium,-15022.02,-17.49,-16.14,1213.16,2950.19
1.4,6.14,-178.36,Europe,-184.53,348.36,11.27,54.66,4,4,0.8,Very high,-15094.7,-6.24,-34.14,2035.6,470.74
4.48,10.78,-92.4,UK,-231.75,421.74,575.27,35.43,1,4,1.4,Very low,-23275.43,-12.45,-33.93,675.9,0
0.24,12.54,-337.96,UK,-196.02,700.83,765.29,404.64,2,3,7.18,Very high,-14424.21,-6.12,-39.3,832.42,1022.1
1.36,16.9,-39.66,UK,-370.56,605.91,0.06,-123.44,3,2,5.52,Very low,-23182.9,-11.82,-47.46,1897.76,0
7.08,5.16,-228.82,Rest,-249.75,526.89,3.27,-142.18,3,6,8.08,Very high,-15110.99,-6.51,-64.11,1645.02,363.98
1.42,27.38,-129.66,USA,-199.32,441.87,0.51,508.33,3,4,-4.2,Medium,-15424.47,3.15,-35.55,2033.58,456.27
6.32,2.08,-86.96,UK,-222.84,473.04,38.74,-6.37,4,6,10.96,Low,-16654.09,-22.92,-26.49,1321.32,0
1.98,8.14,-142.38,Rest,-381,508.8,0,472.3,4,4,5.64,Very low,-10188.87,-1.2,-38.61,382.84,0
0.64,6.92,-116.4,UK,-259.05,248.04,24.35,30.07,4,3,6,Medium,-16830.52,0.3,-40.02,2243.4,0
4.3,7.2,-214.98,Rest,-291.84,405.9,1.26,575.92,6,2,9.76,Very low,-14043.85,3.57,-37.71,929.52,0
12.4,6.26,-188.98,Europe,-180.24,534.87,7.32,-25.26,7,5,-6.86,Very high,-5417.04,-10.83,-1.77,1937.04,1626.28
1.84,8.6,-230,Rest,-269.67,488.49,0.26,348.37,6,2,5.22,Very high,-18592.29,-14.28,-45.27,2496.66,214.25
2.9,6.92,-132.8,Europe,-314.28,549.87,0.21,-243.68,6,2,-1.12,Very low,-10230.24,-7.17,-32.22,476.54,886.17
4.9,11.08,-116.32,Europe,-207.36,539.31,0.14,137.53,5,3,6.42,Medium,-15277.36,-12.18,-28.62,1380.3,1107.65
4.78,2.14,-182.4,UK,-280.95,432.12,0.33,-177.11,2,1,6.9,High,-15684.29,-1.89,-20.82,1595.76,45.42
7.82,2.06,-193.88,Europe,-150.6,384.78,0.14,-466.79,4,4,9.78,Very low,-14880.7,-20.01,-32.67,2093.4,675.89
6.34,6.54,-230.02,USA,-219.39,467.28,1.43,-43.84,2,3,9.78,Low,-8369.65,0.84,-38.88,1069.06,238.58
5.42,15.08,-86.02,Rest,-70.65,575.34,32.39,-229.39,7,3,-2.3,Low,-21073.31,-18.39,-34.62,2298.92,3717.51
8.22,3.86,-138.48,Europe,-164.28,588.6,0.09,166.9,3,4,8.5,Medium,-13755.47,1.41,-49.95,1670.26,421.99
5.68,15.24,-361.34,USA,-176.07,544.68,0.26,433.65,4,3,3.56,Low,-17927.41,10.56,-67.38,1195.2,512.48
2.46,4.06,-249.14,USA,-199.5,239.82,1.91,217.78,5,3,4.14,High,-16050.7,-15.36,-42.42,1457.24,222.73
7.14,17.24,-144.46,Rest,-214.53,489.84,2.45,-326.11,5,5,-0.42,Medium,-13541.24,-13.41,-43.65,1898.44,3331.71
6.6,9.62,-168.14,Rest,-142.47,554.76,0.71,-176.27,3,1,3.76,Very high,-16785.92,-17.43,-12.99,929.28,3746.13
3.2,7.4,-271.78,Rest,-159.69,542.94,19.52,581.2,5,3,4.48,Low,-13779.39,-12.84,-35.49,2293.9,0
10.56,3.94,-107.14,UK,-269.55,545.52,0.2,423.45,3,3,10.48,High,-20619.79,-12.24,-38.25,1174.84,0
6.12,7.76,-252,Rest,-187.74,677.04,0.19,289.23,1,2,6.34,Medium,-21230.95,-5.43,-36.39,1938.76,143.47
11.62,3.84,-151.12,Rest,-222.39,459.87,0.01,414.34,3,8,10.5,Very high,-16612.15,-16.2,-29.85,1060.64,45.78
1.6,6.42,-117.82,Europe,-211.02,285.48,0.42,-122.27,3,2,5.14,Very low,-22304.33,-7.71,-45.06,524.6,738.08
9.06,5.6,-396.26,Europe,-240.03,587.61,14.56,171.64,1,3,11.12,High,-15817.19,-10.47,-32.34,1731.66,166.79
9.76,6.54,-163.06,Rest,-361.41,662.7,8.79,-296.2,3,5,12.18,Very high,-18137.5,-8.28,-47.16,1227.62,677.49
8.24,2.32,-175.02,Europe,-281.97,539.64,20.21,899.01,1,4,2.92,Low,-16196.13,-4.92,-52.98,2229.3,0
2.94,10.94,-178.24,Rest,-246.21,432.27,1.26,149.71,4,2,16.24,Medium,-17069.22,-23.07,-32.67,969.62,1636.57
3.1,13.68,-182.98,USA,-246.15,699.48,0.16,-270.52,6,6,7.84,Very low,-11788.51,7.68,-35.76,1687,289.61
5.82,4.48,-229.96,Rest,-186.69,539.22,0.99,-30.49,4,7,6.14,High,-10034.45,-21.36,-36.39,1422.36,371.01
1.76,6.32,-187.48,Europe,-160.47,372.33,26.31,-565.14,4,5,20.44,Very low,-18081.53,-7.68,-37.08,2145.36,452.91
6.5,4.3,-106.32,Rest,-309.93,202.98,0.15,103.16,7,4,15.36,Very low,-14445.21,-9.54,-46.8,534.12,318.33
8.68,8.48,-169.28,USA,-158.55,447.06,2.88,636.22,6,4,2.58,Medium,-16208.98,-6.18,-41.1,2216.02,184.2
8.08,6.86,-247.8,Europe,-172.32,450.48,0,366.3,5,4,6.3,Very low,-12623.21,-26.97,-37.53,1715.86,287.98
17.3,3.66,-207.42,UK,-394.14,506.79,11.08,146.41,3,5,-3.4,Medium,-17431.83,-5.88,-51.36,3251.18,0
17.32,1.7,-150.62,Rest,-121.8,462.54,0.02,-152.07,5,7,12.26,Very high,-24081.93,-11.4,-55.89,2121.02,2992.94
4.52,2.3,-176.72,USA,-256.59,599.1,0,578.07,3,5,13.36,Very high,-13949.88,-9.87,-31.65,859.64,0
11.76,2.58,-199.92,USA,-237.75,474.3,1.55,73,2,2,5.64,Very high,-16902.44,0.03,-35.82,2214.26,225.58
5.1,7.48,-273.38,Rest,-249.33,448.74,30.31,350.02,2,4,-1.72,Very high,-13993.35,-6.54,-44.91,1911.24,0
